"","year","title","author","journal","number","cites","pubid"
"1",2024,"Unexplored microbial diversity from 2,500 food metagenomes and links with the human microbiome","N Carlino, A Blanco-Míguez, M Punčochář, C Mengoni, F Pinto, A Tatti, ...","Cell","187 (20), 5775-5795. e15",12,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:u3T1itk59dMC"
"2",2024,"Microbial states and social behaviour: towards an extended influence of symbiosis?","J Tap, B de Montera","Conference Symbioses","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:PVqtIyvKoSUC"
"3",2024,"Next-gen fermented food: Harnessing gut microbiome diversity and functions","J Tap, V Hervé, S Landaud, D Werner, MH Desmonts, S Chaillou","Metabolomics & Fermented Foods","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:RfUwGJFMQ-0C"
"4",2024,"A three-country analysis of the gut microbiome indicates taxon associations with diet vary by location and strain","L Khatib, SJ Song, AH Dilmore, JG Sanders, C Brennan, AR Hernández, ...","bioRxiv","2024.10. 01.616090",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:l6Q3WhenKVUC"
"5",2023,"Global branches and local states of the human gut microbiome define associations with environmental and intrinsic factors","J Tap, F Lejzerowicz, A Cotillard, M Pichaud, D McDonald, SJ Song, ...","Nature communications","14 (1), 3310",16,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:V_vSwabWVtYC"
"6",2023,"Exploring Bifidobacterium species community and functional variations with human gut microbiome structure and health beyond infancy","R Ladeira, J Tap, M Derrien","Microbiome Research Reports","2 (2)",11,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:SpPTWFSNUtQC"
"7",2023,"Curated and harmonized gut microbiome 16S rRNA amplicon data from dietary fiber intervention studies in humans","CI Rodriguez, A Keshavarzian, BR Hamaker, F Liu, GR Lunken, ...","Scientific Data","10 (1), 346",2,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:e84hm74t-eoC"
"8",2023,"Branches and ecological states of the gut microbiome: Mapping for future personalized nutritional and therapeutic interventions","J Tap","Journées Polepharma de Microbiomique","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:EBV337fEn3EC"
"9",2023,"Food and gut microbiome modelizations to sustain health","J Tap","NutrEvent","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:qsWQJNntlusC"
"10",2022,"Drinking water source and intake are associated with distinct gut microbiota signatures in US and UK populations","T Vanhaecke, O Bretin, M Poirel, J Tap","The Journal of nutrition","152 (1), 171-182",49,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:xyvS_IvSCKsC"
"11",2022,"A posteriori dietary patterns better explain variations of the gut microbiome than individual markers in the American Gut Project","A Cotillard, A Cartier-Meheust, NS Litwin, S Chaumont, M Saccareau, ...","The American journal of clinical nutrition","115 (2), 432-443",47,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:KI9T_ytC6pkC"
"12",2022,"Human gut metatranscriptome changes induced by a fermented milk product are associated with improved tolerance to a flatulogenic diet","I Oyarzun, B Le Nevé, F Yañez, Z Xie, M Pichaud, G Serrano-Gómez, ...","Computational and Structural Biotechnology Journal","20, 1632-1641",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Ej9njvOgR2oC"
"13",2022,"Representing Diet in a Tree-Based Format for Interactive and Exploratory Assessment of Dietary Intake Data","N Litwin, K Cantrell, A Cotillard, M Derrien, A Johnson, R Knight, ...","Current Developments in Nutrition","6, 774",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:XAp-VaTZjjwC"
"14",2022,"EXPLORATION DES LIENS ENTRE ALIMENTATION, MICROBIOTE INTESTINAL ET INCONFORT DIGESTIF","J Tap","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:i_7YvbSbtFEC"
"15",2021,"Diet and gut microbiome interactions of relevance for symptoms in irritable bowel syndrome","J Tap, S Störsrud, B Le Nevé, A Cotillard, N Pons, J Doré, L Öhman, ...","Microbiome","9, 1-13",38,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:vnF2_uLGgtgC"
"16",2021,"A novel stepwise integrative analysis pipeline reveals distinct microbiota-host interactions and link to symptoms in irritable bowel syndrome","A Polster, L Öhman, J Tap, M Derrien, B Le Nevé, J Sundin, H Törnblom, ...","Scientific Reports","11 (1), 5521",6,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:PuOEWVtPfzwC"
"17",2021,"The Human Gut Microbiota in all its States: From Disturbance to Resilience","J Tap, E Ruppé, M Derrien","Reference Module in Food Science","",6,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:aDl3D7KC1E4C"
"18",2021,"A Fermented Milk Product Containing B. lactis CNCM I-2494 Improves the Tolerance of a Plant-Based Diet in Patients with Disorders of Gut–Brain Interactions","BL Nevé, A Martinez-De la Torre, J Tap, AN Ruiz, M Derrien, A Cotillard, ...","Nutrients","13 (12), 4542",2,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:vVJNg6_NJEsC"
"19",2021,"Unsupervised diet partitions better explain variations of the gut microbiome compared to individual dietary markers in US adults of the American Gut Project cohort","A Cotillard, S Chaumont, M Saccareau, NS Litwin, DG Lopez, J Tap, ...","Current Developments in Nutrition","5, 397",1,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:TGkaJS32XoUC"
"20",2021,"Diet and gut microbiome interactions in irritable bowel syndrome","J Tap, S Störsrud, B Le Nevé, A Cotillard, N Pons, J Doré, L Öhman, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:0sTkTiv_uMkC"
"21",2021,"Syndrome de l'intestin irritable: Quelles sont les interactions entre la diète et le microbiome intestinal?","J Tap","< bound method Organization. get_name_with_acronym of< Organization: INRAE …","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:M_lZXyI38BkC"
"22",2020,"Safety and functional enrichment of gut microbiome in healthy subjects consuming a multi-strain fermented milk product: a randomised controlled trial","AS Alvarez, J Tap, I Chambaud, S Cools-Portier, L Quinquis, P Bourlioux, ...","Scientific Reports","10 (1), 15974",18,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:XDrR66g3YHsC"
"23",2020,"A Fermented Milk Product with B. lactis CNCM I-2494 and Lactic Acid Bacteria Improves Gastrointestinal Comfort in Response to a Challenge Diet Rich in …","B Le Nevé, A Martinez-De la Torre, J Tap, M Derrien, A Cotillard, E Barba, ...","Nutrients","12 (2), 320",11,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:VRfTbSk87rEC"
"24",2020,"A fermented milk product with B. lactis CNCM I-2494 and lactic acid bacteria improves gastrointestinal comfort in response to a challenge diet rich in fermentable …","J Tap, M Derrien, A Cotillard, E Barba, M Mego, AN Ruiz, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:oursBaop5wYC"
"25",2020,"Gut microbiome, diet and symptom interactions in irritable bowel syndrome","J Tap, S Störsrud, BL Nevé, A Cotillard, N Pons, J Doré, L Öhman, ...","bioRxiv","2020.02. 25.964528",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Vno172sVVMwC"
"26",2019,"Prediction of the intestinal resistome by a three-dimensional structure-based method","E Ruppé, A Ghozlane, J Tap, N Pons, AS Alvarez, N Maziers, T Cuesta, ...","Nature microbiology","4 (1), 112-123",175,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:yTLRzDEmwhEC"
"27",2019,"Evidence for an association of gut microbial Clostridia with brain functional connectivity and gastrointestinal sensorimotor function in patients with irritable bowel syndrome …","JS Labus, V Osadchiy, EY Hsiao, J Tap, M Derrien, A Gupta, K Tillisch, ...","Microbiome","7, 1-15",115,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:H7nrzBkawXsC"
"28",2019,"Effects of the long-term storage of human fecal microbiota samples collected in RNAlater","J Tap, S Cools-Portier, S Pavan, A Druesne, L Öhman, H Törnblom, ...","Scientific reports","9 (1), 601",56,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:bVQMTfhMCi4C"
"29",2019,"Fasting breath H2 and gut microbiota metabolic potential are associated with the response to a fermented milk product in irritable bowel syndrome","B Le Nevé, M Derrien, J Tap, R Brazeilles, S Cools Portier, D Guyonnet, ...","PLoS One","14 (4), e0214273",20,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:rOcdG6UcVlcC"
"30",2019,"Effects of a Flatulogenic Diet Combined with a Fermented Milk Product on Markers of Flatulence and Intestinal Microbiome Composition in Healthy Subjects","AM de la Torre, B Le Nevé, J Tap, A Cotillard, M Pozuelo, FPB del Río, ...","Gastroenterology","156 (6), S221-S221",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:KTwcwpFFj4wC"
"31",2019,"Gut microbiome hysteresis is associated with durable mucosal alterations","J Tap, S Burz, A Cotillard, J Cadiou, HM Blottiere, J Dore, P Veiga, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:ukw-9cB-YDkC"
"32",2019,"Alternative stable states of a holobiont: the intestinal microbiota-host relationship.","M Van De Guchte, S Burz, J Tap, J Cadiou, J Wu, A Cotillard, C Mayeur, ...","","",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Y9VhQm-5nPIC"
"33",2018,"Altered intestinal antibacterial gene expression response profile in irritable bowel syndrome is linked to bacterial composition and immune activation","SMP Bennet, J Sundin, MK Magnusson, H Strid, J Tap, M Derrien, ...","Neurogastroenterology & Motility","30 (12), e13468",21,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Y0-TYkg6YM4C"
"34",2018,"Fecal chromogranins and secretogranins are linked to the fecal and mucosal intestinal bacterial composition of IBS patients and healthy subjects","J Sundin, M Stridsberg, J Tap, M Derrien, B Le Nevé, J Doré, H Törnblom, ...","Scientific Reports","8 (1), 16821",16,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:RMgMIBzvq-4C"
"35",2018,"Mo1942-Association Between Dietary Habits and the Gut Metagenome in Irritable Bowel Syndrome","J Tap, M Derrien, B Le Nevé, L Ohman, H Törnblom, S Störsrud, M Simren","Gastroenterology","154 (6), S-859",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:L24QuVWYgZ0C"
"36",2018,"Mikrobielle Biomarker zur Krebsfrüherkennung","AY Voigt, G Zeller, P Bork","TumorDiagnostik & Therapie","39 (01), 55-62",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:yIeBiWEAh44C"
"37",2017,"Identification of an intestinal microbiota signature associated with severity of irritable bowel syndrome","J Tap, M Derrien, H Törnblom, R Brazeilles, S Cools-Portier, J Doré, ...","Gastroenterology","152 (1), 111-123. e8",666,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:wUn16MOA3RoC"
"38",2017,"Faecal microbiota study reveals specific dysbiosis in spondyloarthritis","M Breban, J Tap, A Leboime, R Said-Nahal, P Langella, G Chiocchia, ...","Annals of the rheumatic diseases","76 (9), 1614-1622",373,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:Azgs6IHzeyYC"
"39",2017,"Clostridia from the gut microbiome are associated with brain functional connectivity and evoked symptoms in IBS","JS Labus, E Hsiao, J Tap, M Derrien, A Gupta, B Le Nevé, R Brazeilles, ...","Gastroenterology","152 (5), S40",9,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:KS-xo-ZNxMsC"
"40",2017,"Prediction of the intestinal resistome by a novel 3D-based method","E Ruppé, A Ghozlane, J Tap, N Pons, AS Alvarez, N Maziers, T Cuesta, ...","bioRxiv","196014",4,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:rCNdntzdTkkC"
"41",2017,"Granins are linked to bacterial richness, innate immunity, markers for intestinal permeability and symptom severity IBS patients","J Sundin, J Tap, M Derrien, B Le Neve, M Stridsberg, H Tornblom, ...","Neurogastroenterology And Motility","29, 21-21",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:gV6rEsy15s0C"
"42",2017,"Mikrobielle Signatur für Patienten mit Reizdarmsyndrom","M Hofmann-Aßmus","Zeitschrift für Gastroenterologie","55 (04), 342-342",0,"https://scholar.google.com/citations?view_op=view_citation&hl=fr&user=aYTQ-WkAAAAJ&citation_for_view=aYTQ-WkAAAAJ:4n0clTBhZ78C"
